ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,Time,TanAhKow,Yes,0,0.1,0.2,0.3,1,1.1,1.2,1.3,1.4,0.4,1.5,0.5,1.6,0.6,0.7,0.8,0.9,0.10,0.11,0.12,1.7,1.8,1.9,1.10,0.13,0.14,1.11,0.15,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,0.16,0.17,0.18,0.19,0.20,0.21,0.22,1.21,1.22,1.23,1.24,0.23,0.24,0.25,1.25,1.26,0.26,1.27,1.28,1.29,0.27,0.28,1.30,0.29,0.30,0.31,0.32,0.33
0.38,0.38,0.81,-70.28,55.93,54.6,80,79,94,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08,-1.37,1.42,19.81,22.4,-34.02,79,79,94,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.39,-0.51,0.7,58.17,-4.41,-175.98,72,69,83,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.41,-0.67,0.4,-223.93,126.14,-140.7,79,78,92,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.58,0.84,-59.43,131.18,86.52,75,73,88,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,-0.34,0.98,48.58,-48.16,-238.56,72,72,85,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16,-0.22,0.21,38.57,116.97,-19.88,81,82,98,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3,-0.54,1.21,-54.88,50.68,-94.29,71,67,82,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.28,-0.46,0.93,-13.16,-4.06,-3.5,71,70,83,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.48,0.82,3.43,-1.54,-0.84,80,82,99,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.48,0.83,1.89,-1.61,-0.07,81,82,97,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.48,0.83,2.03,-1.75,0.14,70,69,81,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.48,0.83,2.03,-1.75,0.14,70,69,81,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.84,0.7,-1.89,0.0,71,69,81,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.48,0.84,0.56,-1.68,0.63,83,84,99,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.86,2.17,-1.68,0.42,70,68,81,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.84,1.89,-1.68,0.07,70,67,79,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.84,2.31,-1.33,0.14,84,85,101,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.84,-0.35,-1.61,0.35,79,79,97,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.84,0.21,-1.89,-0.21,71,67,83,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.84,1.68,-1.89,0.07,70,66,80,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.84,0.7,-1.89,0.35,83,84,101,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-0.47,0.87,-0.21,-1.54,1.4,78,76,89,25/06/2023 12:43:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
