ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,Time,TanAhKow,Yes,0,0.1,0.2,0.3,1,1.1,1.2,1.3,1.4,0.4,1.5,0.5,1.6,0.6,0.7,0.8,0.9,0.10,0.11,0.12,1.7,1.8,1.9,1.10,0.13,0.14,1.11,0.15,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,0.16,0.17,0.18,0.19,0.20,0.21,0.22,1.21,1.22,1.23,1.24,0.23,0.24,0.25,1.25,1.26,0.26,1.27,1.28,1.29,0.27,0.28,1.30,0.29,0.30,0.31,0.32,0.33
-0.24,-0.52,1.16,-389.27,391.79,83.02,72,71,84,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.67,-0.64,1.25,-214.83,121.94,142.38,78,75,91,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54,-1.0,1.75,35.77,-121.94,6.51,71,71,82,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29,-0.8,1.18,49.98,-269.15,-97.93,78,79,94,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.39,-1.01,0.99,67.27,-218.82,-173.32,74,72,84,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.19,-0.43,0.67,44.31,-74.2,-159.6,78,79,92,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21,-1.45,1.76,49.56,-233.24,-218.68,76,73,87,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.11,-0.49,0.46,46.2,-166.32,-336.56,79,78,93,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,0.78,0.41,39.41,-45.5,-291.9,73,72,86,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46,0.62,0.27,-98.98,3.36,2.38,75,76,91,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44,0.45,0.64,8.26,127.54,8.75,76,76,92,25/06/2023 12:43:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.63,0.18,0.91,-127.33,23.66,68.53,74,73,88,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48,1.42,0.67,-215.53,0.28,312.34,77,77,92,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.33,0.44,0.57,-40.95,45.64,519.4,76,74,90,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.31,-0.69,0.91,92.96,116.34,406.28,76,75,89,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43,-0.99,1.51,5.18,110.95,196.91,79,78,94,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09,-0.47,1.22,146.44,-45.08,41.09,74,71,86,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2,-1.15,0.74,236.32,-22.26,-56.91,77,76,93,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,-1.77,2.05,103.04,-134.68,-437.36,74,71,85,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.47,0.32,1.4,231.0,-164.92,-314.51,74,71,86,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.07,1.1,0.96,205.24,23.59,-150.92,78,79,94,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,0.61,1.42,85.89,-42.28,-98.21,78,78,94,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15,0.51,0.53,-152.32,20.72,-40.18,73,72,84,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,1.65,0.77,-414.19,-87.92,124.39,77,77,90,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
